127.0.0.1 - - [07/Sep/2021:10:25:33 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Sep/2021:10:26:38 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:10:26:38 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Sep/2021:13:28:38 +0300] "GET /movie-register-ws/actors HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [07/Sep/2021:13:28:41 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:13:44:39 +0300] "GET /countries HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [07/Sep/2021:13:45:26 +0300] "GET /countries HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [07/Sep/2021:13:45:42 +0300] "GET /countries HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [07/Sep/2021:13:47:09 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:13:47:56 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:14:11:41 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:14:12:57 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:14:13:03 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:14:13:04 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:14:13:04 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [07/Sep/2021:14:13:04 +0300] "GET /movie-register-ws/countries HTTP/1.1" 200 199
